service_id,date,exception_type
1522_PO,20250929,1
1522_PO,20250930,1
1522_PO,20251001,1
1522_CZ,20251002,1
1522_PT,20251003,1
1523_SO,20251004,1
1523_SW,20251005,1
1523_PO,20251006,1
1523_PO,20251007,1
1523_PO,20251008,1
1523_CZ,20251009,1
1523_PT,20251010,1
1523_SO,20251011,1
1523_SW,20251012,1
1523_PO,20251013,1
1523_PO,20251014,1
1523_PO,20251015,1
1523_CZ,20251016,1
1523_PT,20251017,1
1523_SO,20251018,1
1523_SW,20251019,1
1523_PO,20251020,1
1523_PO,20251021,1
1523_PO,20251022,1
1523_CZ,20251023,1
1523_PT,20251024,1
1523_SO,20251025,1
1523_SW,20251026,1
1523_PO,20251027,1
1523_PO,20251028,1
1523_PO,20251029,1
1523_CZ,20251030,1
1523_PT,20251031,1
1523_SW,20251101,1
1523_SW,20251102,1
1523_PO,20251103,1
1523_PO,20251104,1
1523_PO,20251105,1
1523_CZ,20251106,1
1523_PT,20251107,1
1523_SO,20251108,1
1523_SW,20251109,1
1523_PO,20251110,1
1523_SW,20251111,1
1523_PO,20251112,1
1523_CZ,20251113,1
1523_PT,20251114,1
1523_SO,20251115,1
1523_SW,20251116,1
1523_PO,20251117,1
1523_PO,20251118,1
1523_PO,20251119,1
1523_CZ,20251120,1
1523_PT,20251121,1
1523_SO,20251122,1
1523_SW,20251123,1
1523_PO,20251124,1
1523_PO,20251125,1
1523_PO,20251126,1
1523_CZ,20251127,1
1523_PT,20251128,1
1523_SO,20251129,1
1523_SW,20251130,1
1523_PO,20251201,1
1523_PO,20251202,1
1523_PO,20251203,1
1523_CZ,20251204,1
1523_PT,20251205,1
1523_SO,20251206,1
1523_SW,20251207,1
1523_PO,20251208,1
1523_PO,20251209,1
1523_PO,20251210,1
1523_CZ,20251211,1
1523_PT,20251212,1
1523_SO,20251213,1
1523_SW,20251214,1
1523_PO,20251215,1
1523_PO,20251216,1
1523_PO,20251217,1
1523_CZ,20251218,1
1523_PT,20251219,1
1523_SO,20251220,1
1523_SW,20251221,1
1523_PO,20251222,1
1523_PO,20251223,1
1523_PO,20251224,1
1523_SW,20251225,1
1523_SW,20251226,1
1523_SO,20251227,1
1523_SW,20251228,1
1523_PO,20251229,1
1523_PO,20251230,1
1523_PO,20251231,1
1523_SW,20260101,1
1523_PT,20260102,1
1523_SO,20260103,1
1523_SW,20260104,1
1523_PO,20260105,1
1523_SW,20260106,1
1523_PO,20260107,1
1523_PO,20260108,1
1523_PT,20260109,1
1523_SO,20260110,1
1523_SW,20260111,1
1523_PO,20260112,1
1523_PO,20260113,1
1523_PO,20260114,1
1523_PO,20260115,1
1523_PT,20260116,1
1523_SO,20260117,1
1523_SW,20260118,1
1523_PO,20260119,1
1523_PO,20260120,1
1523_PO,20260121,1
1523_PO,20260122,1
1523_PT,20260123,1
1523_SO,20260124,1
1523_SW,20260125,1
1523_PO,20260126,1
1523_PO,20260127,1
1523_PO,20260128,1
1523_PO,20260129,1
1523_PT,20260130,1
1523_SO,20260131,1
1523_SW,20260201,1
1523_PO,20260202,1
1523_PO,20260203,1
1523_PO,20260204,1
1523_CZ,20260205,1
1523_PT,20260206,1
1523_SO,20260207,1
1523_SW,20260208,1
1523_PO,20260209,1
1523_PO,20260210,1
1523_PO,20260211,1
1523_CZ,20260212,1
1523_PT,20260213,1
1523_SO,20260214,1
1523_SW,20260215,1
1523_PO,20260216,1
1523_PO,20260217,1
1523_PO,20260218,1
1523_CZ,20260219,1
1523_PT,20260220,1
1523_SO,20260221,1
1523_SW,20260222,1
1523_PO,20260223,1
1523_PO,20260224,1
1523_PO,20260225,1
1523_CZ,20260226,1
1523_PT,20260227,1
1523_SO,20260228,1
