route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"100",1523_PO,1523_8860,"Plac Na Stawach",,1,PO_101-01_31,902997,0,0
"100",1522_PO,1522_8450,"Kopiec Kościuszki",,0,PO_101-01_32,901046,0,0
"100",1523_PO,1523_8864,"Kopiec Kościuszki",,0,PO_101-01_32,902996,0,0
"101",1522_PO,1522_8454,"Os. Podwawelskie",,1,PO_101-01_33,901246,0,0
"101",1523_PO,1523_8868,"Os. Podwawelskie",,1,PO_101-01_33,903078,0,0
"101",1522_PO,1522_8458,"Kopiec Kościuszki",,0,PO_101-01_34,901245,0,0
"101",1523_PO,1523_8872,"Kopiec Kościuszki",,0,PO_101-01_34,903079,0,0
"100",1522_PO,1522_8462,"Plac Na Stawach",,1,PO_101-01_35,901047,0,0
"100",1523_PO,1523_8876,"Plac Na Stawach",,1,PO_101-01_35,902997,0,0
"100",1522_PO,1522_8466,"Kopiec Kościuszki",,0,PO_101-01_36,901046,0,0
"100",1523_PO,1523_8881,"Kopiec Kościuszki",,0,PO_101-01_36,902996,0,0
"101",1522_PO,1522_8470,"Os. Podwawelskie",,1,PO_101-01_37,901246,0,0
"101",1523_PO,1523_8885,"Os. Podwawelskie",,1,PO_101-01_37,903078,0,0
"101",1522_PO,1522_8474,"Kopiec Kościuszki",,0,PO_101-01_38,901245,0,0
"101",1523_PO,1523_8889,"Kopiec Kościuszki",,0,PO_101-01_38,903079,0,0
"100",1522_PO,1522_8478,"Plac Na Stawach",,1,PO_101-01_39,901047,0,0
"100",1523_PO,1523_8893,"Plac Na Stawach",,1,PO_101-01_39,902997,0,0
"100",1522_PO,1522_8482,"Kopiec Kościuszki",,0,PO_101-01_40,901046,0,0
"100",1523_PO,1523_8897,"Kopiec Kościuszki",,0,PO_101-01_40,902996,0,0
"101",1522_PO,1522_8486,"Os. Podwawelskie",,1,PO_101-01_41,901246,0,0
"101",1523_PO,1523_8901,"Os. Podwawelskie",,1,PO_101-01_41,903078,0,0
"101",1522_PO,1522_8490,"Kopiec Kościuszki",,0,PO_101-01_42,901245,0,0
"101",1523_PO,1523_8905,"Kopiec Kościuszki",,0,PO_101-01_42,903079,0,0
"100",1522_PO,1522_8494,"Plac Na Stawach",,1,PO_101-01_43,901047,0,0
"100",1523_PO,1523_8909,"Plac Na Stawach",,1,PO_101-01_43,902997,0,0
"100",1522_PO,1522_8498,"Kopiec Kościuszki",,0,PO_101-01_44,901046,0,0
"100",1523_PO,1523_8914,"Kopiec Kościuszki",,0,PO_101-01_44,902996,0,0
"101",1522_PO,1522_8502,"Os. Podwawelskie",,1,PO_101-01_45,901246,0,0
"101",1523_PO,1523_8917,"Os. Podwawelskie",,1,PO_101-01_45,903078,0,0
"101",1522_PO,1522_8506,"Kopiec Kościuszki",,0,PO_101-01_46,901245,0,0
"101",1523_PO,1523_8921,"Kopiec Kościuszki",,0,PO_101-01_46,903079,0,0
"100",1522_PO,1522_8510,"Plac Na Stawach",,1,PO_101-01_47,901047,0,0
"100",1523_PO,1523_8926,"Plac Na Stawach",,1,PO_101-01_47,902997,0,0
"100",1522_PO,1522_8514,"Kopiec Kościuszki",,0,PO_101-01_48,901046,0,0
"100",1523_PO,1523_8930,"Kopiec Kościuszki",,0,PO_101-01_48,902996,0,0
"101",1522_PO,1522_8518,"Os. Podwawelskie",,1,PO_101-01_49,901246,0,0
"101",1523_PO,1523_8933,"Os. Podwawelskie",,1,PO_101-01_49,903078,0,0
"101",1522_PO,1522_8522,"Kopiec Kościuszki",,0,PO_101-01_50,901245,0,0
"101",1523_PO,1523_8938,"Kopiec Kościuszki",,0,PO_101-01_50,903079,0,0
