service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1522_PO,0,0,0,0,0,0,0,20250929,20260228
1522_SO,0,0,0,0,0,0,0,20250929,20260228
1522_SW,0,0,0,0,0,0,0,20250929,20260228
1522_PT,0,0,0,0,0,0,0,20250929,20260228
1522_CZ,0,0,0,0,0,0,0,20250929,20260228
1523_PO,0,0,0,0,0,0,0,20250929,20260228
1523_SO,0,0,0,0,0,0,0,20250929,20260228
1523_SW,0,0,0,0,0,0,0,20250929,20260228
1523_PT,0,0,0,0,0,0,0,20250929,20260228
1523_CZ,0,0,0,0,0,0,0,20250929,20260228
